filename,width,height,class,xmin,ymin,xmax,ymax
0b57cceb-4d17-417c-a3c5-ffb0b62d8b59.jpg,640,480,full,169,134,237,177
0b57cceb-4d17-417c-a3c5-ffb0b62d8b59.jpg,640,480,full,481,168,547,225
0b57cceb-4d17-417c-a3c5-ffb0b62d8b59.jpg,640,480,full,470,332,544,389
0b57cceb-4d17-417c-a3c5-ffb0b62d8b59.jpg,640,480,full,489,34,553,89
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,576,221,607,280
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,250,319,311,360
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,212,335,268,370
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,173,271,223,316
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,288,213,344,237
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,279,233,355,258
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,273,109,336,152
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,331,121,400,161
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,447,87,516,123
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,415,193,478,238
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,351,200,386,257
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,400,374,454,401
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,448,381,515,412
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,396,439,473,476
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,399,260,456,292
0ca5874c-22db-4016-8d5c-5d2626dda567.jpg,640,480,full,444,281,521,309
0b092027-45ce-4fef-b71b-a3d7cca8660d.jpg,640,480,full,361,199,425,247
0b092027-45ce-4fef-b71b-a3d7cca8660d.jpg,640,480,full,573,315,631,367
0c2c2ad4-5a6b-4146-b43c-d919ce019057.jpg,640,480,full,265,149,318,225
0c2c2ad4-5a6b-4146-b43c-d919ce019057.jpg,640,480,full,270,94,313,159
0c2c2ad4-5a6b-4146-b43c-d919ce019057.jpg,640,480,full,450,215,523,266
0c2ffa04-07f5-4484-ac3f-86b7658907ad.jpg,640,480,full,331,66,367,142
0c2ffa04-07f5-4484-ac3f-86b7658907ad.jpg,640,480,full,344,118,380,186
0c2ffa04-07f5-4484-ac3f-86b7658907ad.jpg,640,480,full,351,154,392,228
